question,answer_a,answer_b,answer_c,answer_d,correct,giphy_keyword
What is the capital of Australia?,Sydney,Melbourne,Canberra,Brisbane,c,australia
Which is the longest river in the world?,Amazon,Nile,Yangtze,Mississippi,b,river
What is the smallest country in the world by area?,Monaco,Vatican City,San Marino,Liechtenstein,b,vatican
On which continent is the Sahara Desert located?,Asia,South America,Africa,Australia,c,sahara desert
What is the tallest mountain in the world?,K2,Mont Blanc,Kilimanjaro,Mount Everest,d,mount everest
Which country has the most natural lakes?,Russia,Canada,USA,Brazil,b,canada lake
What is the capital of Japan?,Osaka,Kyoto,Tokyo,Hiroshima,c,tokyo japan
Which ocean is the largest by area?,Atlantic,Indian,Arctic,Pacific,d,ocean waves
How many countries are in Africa?,42,54,61,72,b,africa map
What is the capital of Brazil?,Rio de Janeiro,Brasilia,Sao Paulo,Salvador,b,brazil
